# milli_time node_id temp hum light
27 75 1929 6568 32
30 81 2295 6476 2
40 76 1980 6512 2
48 69 2380 6152 1
78 48 1687 6629 22
109 132 2258 6493 22
161 46 1839 6753 24
175 65 1962 6530 36
175 55 1881 6602 24
198 42 2510 6029 24
206 73 1903 6606 46
219 63 1803 6538 26
239 66 1875 6568 21
287 82 2003 6524 20
296 41 1816 6649 22
313 40 2273 6174 17
331 116 2069 6614 2
346 122 1636 6833 22
369 123 2232 6564 28
380 83 1933 6584 22
393 43 2407 6080 12
396 72 2150 6457 56
419 131 1744 6885 33
426 135 1997 6568 23
428 74 2325 6521 0
452 129 2153 6606 21
463 54 2024 6600 20
501 71 2010 6484 27
505 75 1930 6568 33
523 81 2296 6474 2
527 69 2379 6150 1
533 76 1980 6515 1
555 48 1686 6626 20
584 138 1528 6936 27
592 137 2074 6616 4
595 136 2165 6576 20
599 133 1542 7029 28
603 132 2260 6496 25
608 134 1766 6540 1
655 46 1843 6752 21
669 65 1962 6532 37
669 55 1881 6600 25
676 42 2508 6028 24
699 73 1904 6610 46
713 63 1804 6541 25
717 66 1877 6570 21
774 41 1816 6650 19
781 82 2003 6526 19
807 40 2274 6175 19
809 116 2067 6613 2
824 122 1638 6830 19
858 83 1935 6585 21
862 123 2231 6563 29
886 43 2408 6082 16
888 72 2152 6458 57
909 135 1990 6566 22
912 131 1743 6883 33
922 74 2326 6522 2
930 129 2151 6602 22
956 54 2026 6604 20
958 71 2011 6486 27
1000 75 1928 6566 32
1000 81 2295 6476 2
1011 76 1980 6512 2
1021 69 2380 6152 1
1049 48 1688 6629 21
1069 138 1528 6935 29
1072 136 2164 6575 19
1077 133 1540 7024 24
1086 137 2073 6614 7
1096 132 2260 6494 23
1101 134 1766 6538 2
1147 55 1882 6602 25
1149 46 1848 6754 17
1163 65 1961 6530 36
1169 42 2510 6030 24
1190 63 1804 6539 26
1193 73 1903 6606 47
1210 66 1876 6569 21
1268 41 1814 6649 18
1275 82 2002 6524 18
1285 40 2272 6173 18
1303 116 2069 6614 1
1317 122 1645 6832 19
1352 83 1933 6584 21
1354 123 2233 6564 29
1366 72 2149 6457 55
1379 43 2407 6080 11
1396 135 1985 6569 20
1400 74 2323 6520 1
1405 131 1744 6885 33
1423 129 2151 6605 22
1434 54 2028 6602 20
1436 71 2011 6484 27
1478 75 1930 6569 33
1494 81 2293 6474 6
1515 69 2379 6149 1
1525 76 1981 6513 2
1543 48 1687 6626 22
1553 138 1528 6936 27
1565 136 2165 6575 20
1571 133 1540 7030 25
1573 132 2260 6496 22
1579 137 2074 6616 4
1595 134 1767 6538 2
1627 46 1852 6753 19
1640 55 1882 6600 24
1642 65 1961 6532 36
1662 42 2509 6026 18
1670 73 1904 6610 44
1684 63 1804 6540 25
1704 66 1878 6570 17
1756 82 2002 6526 16
1762 41 1815 6650 19
1779 40 2273 6174 16
1797 116 2068 6612 1
1811 122 1650 6830 19
1831 123 2232 6563 27
1846 83 1934 6586 22
1856 43 2409 6085 14
1860 72 2151 6458 56
1883 131 1743 6883 34
1888 135 1978 6566 17
1894 74 2325 6522 1
1916 129 2149 6603 23
1927 54 2032 6604 19
1929 71 2013 6486 27
1973 75 1928 6567 33
1987 81 2294 6475 0
1996 69 2380 6152 2
1999 76 1980 6513 2
2020 48 1688 6628 24
2046 138 1528 6936 28
2057 137 2072 6614 4
2058 136 2163 6574 20
2064 133 1538 7025 25
2067 132 2260 6495 20
2072 134 1767 6539 2
2121 46 1856 6755 18
2134 55 1884 6601 24
2134 65 1960 6530 37
2140 42 2510 6028 19
2163 73 1902 6608 46
2177 63 1803 6538 25
2188 66 1878 6569 20
2240 41 1813 6649 19
2246 82 2001 6524 17
2257 40 2271 6172 18
2275 116 2068 6613 1
2289 122 1658 6832 19
2324 83 1933 6584 30
2324 123 2235 6566 28
2353 43 2407 6082 13
2354 72 2148 6456 57
2375 131 1745 6886 34
2381 135 1972 6568 22
2388 74 2323 6520 2
2393 129 2149 6605 22
2407 71 2012 6483 26
2422 54 2033 6603 20
2465 81 2294 6475 6
2467 75 1929 6570 33
2477 76 1980 6513 1
2488 69 2379 6148 1
2514 48 1687 6628 22
2535 136 2166 6576 19
2539 138 1530 6937 27
2542 133 1538 7027 25
2551 137 2074 6615 3
2560 132 2261 6496 25
2566 134 1767 6538 2
2611 55 1882 6600 26
2615 46 1861 6754 20
2628 65 1960 6532 37
2634 42 2509 6026 24
2672 73 1903 6610 50
2672 63 1804 6539 25
2676 66 1880 6570 19
2734 41 1814 6650 21
2740 82 2002 6526 20
2751 40 2271 6173 17
