# Time Mote_ID Temperature Motion CO2
1 0 373 2560 909
1 4 370 2617 923
1 5 363 2698 966
2 0 372 2631 910
2 1 283 2564 908
2 2 263 2621 898
2 3 381 2203 992
2 4 370 2658 920
2 5 363 2699 894
3 0 372 2705 911
3 1 282 2565 907
3 2 263 2621 895
3 3 381 2296 992
3 4 370 2654 921
3 5 363 2563 894
4 0 372 2385 909
4 1 282 2564 907
4 2 263 2527 894
4 3 381 2305 992
4 4 370 2225 921
4 5 363 2569 966
5 0 372 2520 911
5 1 282 2378 908
5 2 263 2621 894
5 3 381 2356 992
5 4 370 1651 923
5 5 363 2544 894
6 0 372 2706 911
6 1 282 2564 908
6 2 263 2619 895
6 3 381 2176 992
6 4 370 2658 923
6 5 363 2555 966
7 0 372 2526 909
7 1 282 2151 909
7 2 263 2620 894
7 3 380 2338 993
7 4 369 2658 921
7 5 363 2568 894
8 0 372 2310 911
8 1 282 2565 907
8 2 263 2621 894
8 3 380 2296 992
8 4 369 2657 921
8 5 362 2554 894
9 0 372 1096 911
9 1 282 2566 909
9 2 263 2621 895
9 3 380 2351 992
9 4 369 2658 921
9 5 362 2558 894
10 0 372 2706 910
10 1 283 2563 909
10 2 263 2623 898
10 3 380 2367 992
10 4 369 2659 924
10 5 362 2554 894
11 0 372 2441 910
11 1 283 2564 909
11 2 263 2620 895
11 3 380 2271 993
11 4 369 2658 921
11 5 362 2540 894
12 0 372 2516 910
12 1 282 2563 907
12 2 263 2621 895
12 3 380 2308 992
12 4 369 2658 921
12 5 362 2587 966
13 0 371 2538 911
13 1 283 2565 909
13 2 263 2620 895
13 3 380 2254 992
13 4 369 2658 921
13 5 362 2553 966
14 0 371 2583 909
14 1 283 2564 909
14 2 263 2620 895
14 4 369 2658 920
14 5 362 2629 967
15 0 371 2480 910
15 1 283 2564 907
15 2 263 2620 895
15 3 380 2329 992
15 4 369 2659 921
15 5 362 2552 890
16 0 371 2544 911
16 1 282 2565 907
16 2 263 2621 895
16 3 380 2269 993
16 4 369 2657 921
16 5 362 2570 894
17 0 371 2571 911
17 1 282 2563 908
17 2 263 2620 895
17 3 379 2318 992
17 4 369 2658 921
17 5 362 2511 895
18 0 371 2531 910
18 1 282 2564 907
18 2 263 2621 895
18 3 379 2344 992
18 4 369 2658 921
18 5 362 2545 890
19 0 371 2556 909
19 1 282 2564 907
19 2 263 2621 894
19 3 379 2326 992
19 4 369 2657 921
19 5 362 2607 890
20 0 371 2560 911
20 1 282 2564 907
20 2 263 2621 898
20 3 379 2304 992
20 4 369 2658 923
20 5 362 2595 893
21 0 371 2542 909
21 1 282 2566 909
21 2 263 2622 895
21 3 379 2305 992
21 4 369 2657 921
21 5 362 2570 894
22 0 371 2560 910
22 1 281 2566 907
22 2 263 2620 895
22 3 379 2277 992
22 4 369 2658 920
22 5 361 2611 894
23 0 371 2494 911
23 1 281 2565 907
23 2 263 2620 894
23 3 379 2312 992
23 4 369 2658 921
23 5 361 2555 894
24 0 371 2580 910
24 1 281 2565 909
24 2 263 2620 895
24 3 379 2301 992
24 4 369 2658 920
24 5 361 2574 966
25 0 371 2479 911
25 1 281 2563 907
25 2 264 2620 894
25 3 379 2318 992
25 4 369 2658 921
25 5 361 2620 894
26 0 371 2592 911
26 1 281 2565 907
26 2 264 2621 898
26 3 379 2291 992
26 4 369 2657 921
26 5 361 2608 890
27 0 371 2490 910
27 1 281 2565 909
27 2 264 2621 895
27 3 379 2321 992
27 4 369 2658 923
27 5 361 2522 894
28 0 371 2535 911
28 1 281 2564 909
28 2 264 2621 895
28 3 379 2273 992
28 4 369 2658 921
28 5 361 2611 890
29 0 371 2506 910
29 1 281 2563 907
29 2 264 2005 898
29 3 378 2318 992
29 4 369 2658 920
29 5 361 2568 893
30 0 371 2500 909
30 1 281 2566 909
30 2 264 2620 895
30 3 378 2326 992
30 4 369 2659 921
30 5 361 2586 894
31 0 371 2535 911
31 1 281 2565 909
31 2 264 2308 895
31 3 378 2304 992
31 4 369 2659 921
31 5 361 2575 894
32 0 371 2492 910
32 1 281 2564 909
32 2 264 2621 895
32 3 378 2306 992
32 4 369 2658 923
32 5 361 2574 890
33 0 370 2484 909
33 1 281 2563 907
33 2 264 2621 895
33 3 378 2297 993
33 4 369 2658 921
33 5 361 2570 894
34 0 371 2502 911
34 1 281 2564 909
34 2 263 2621 895
34 3 378 2312 993
34 4 369 2658 920
34 5 361 2528 894
35 0 371 2490 910
35 1 281 2564 909
35 2 264 2621 895
35 3 378 2289 993
35 4 369 2658 921
35 5 361 2625 894
36 0 371 2516 910
36 1 281 2563 909
36 2 264 2619 895
36 3 378 2331 993
36 4 369 2658 921
36 5 361 2506 893
37 0 371 2564 911
37 1 281 2565 907
37 2 264 2621 895
37 3 378 2290 993
37 4 369 2658 921
37 5 361 2561 894
38 0 371 2516 909
38 1 281 2565 908
38 2 263 2619 895
38 3 378 2305 993
38 4 369 2658 923
38 5 361 2574 894
39 0 370 2497 910
39 1 281 2564 909
39 2 264 2620 894
39 3 378 2323 993
39 4 369 2658 921
39 5 361 2589 894
40 0 371 2532 911
40 1 281 2563 907
40 2 264 2620 894
40 3 378 2338 993
40 4 369 2658 920
40 5 361 2564 894
41 0 371 2467 911
41 1 280 2565 907
41 2 264 2620 895
41 3 378 2298 993
41 4 369 2658 920
41 5 361 2582 893
42 0 370 2503 910
42 1 281 2565 907
42 2 264 2621 895
42 3 378 2342 993
42 4 369 2659 921
42 5 361 2520 894
43 0 370 2506 909
43 1 281 2563 909
43 2 263 2621 898
43 3 378 2332 993
43 4 369 2658 921
43 5 361 2621 890
44 0 371 2471 911
44 1 280 2564 909
44 2 263 2622 895
44 3 378 2326 993
44 4 369 2658 921
44 5 361 2562 890
45 0 370 2500 911
45 1 280 2564 907
45 2 263 2621 895
45 3 378 2344 993
45 4 369 2658 921
45 5 361 2605 894
46 0 370 2516 910
46 1 280 2564 907
46 2 263 2622 894
46 3 378 2265 993
46 4 369 2657 921
46 5 361 2579 890
47 0 370 2554 910
47 1 280 2564 909
47 2 263 2621 895
47 3 378 2288 993
47 4 369 2658 920
47 5 361 2557 890
48 0 370 2452 910
48 1 280 2563 907
48 2 263 2621 897
48 3 378 2301 993
48 4 369 2658 921
48 5 361 2551 894
49 0 370 2508 910
49 1 280 2564 909
49 2 263 2619 895
49 3 378 2292 992
49 4 369 2658 921
49 5 361 2595 894
50 0 370 2546 910
50 1 281 2564 909
50 2 263 2621 894
50 3 378 2374 993
50 4 369 2658 921
50 5 361 2528 966
51 0 370 2519 910
51 1 280 2565 909
51 2 262 2621 895
51 3 378 2299 992
51 4 369 2658 921
51 5 361 2574 891
52 0 370 2479 909
52 1 280 2565 907
52 2 263 2621 894
52 3 378 2315 993
52 4 369 2658 920
52 5 361 2558 890
53 0 370 2508 910
53 1 280 2564 907
53 2 262 2623 894
53 3 378 2326 992
53 4 369 2658 921
53 5 361 2571 890
54 0 370 2503 909
54 1 280 2565 907
54 2 263 2622 894
